TYPE	V02	V03	V04	V05	V06	V07	V08	V09	V10	V11	V12	V13	V14	V15	V16	V18	V19	V20	V21	V22	V23
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
