handicapped-infants	water-project-cost-sharin	adoption-of-the-budget-re	physician-fee-freeze	el-salvador-aid	religious-groups-in-schoo	anti-satellite-test-ban	aid-to-nicaraguan-contras	mx-missile	immigration	synfuels-corporation-cutb	education-spending	superfund-right-to-sue	crime	duty-free-exports	export-administration-act	Class
'n'	'y'	'n'	'y'	'y'	'y'	'n'	'n'	'n'	'y'	_?	'y'	'y'	'y'	'n'	'y'	'republican'
'n'	'y'	'n'	'y'	'y'	'y'	'n'	'n'	'n'	'n'	'n'	'y'	'y'	'y'	'n'	_?	'republican'
_?	'y'	'y'	_?	'y'	'y'	'n'	'n'	'n'	'n'	'y'	'n'	'y'	'y'	'n'	'n'	'democrat'
'n'	'y'	'y'	'n'	_?	'y'	'n'	'n'	'n'	'n'	'y'	'n'	'y'	'n'	'n'	'y'	'democrat'
'y'	'y'	'y'	'n'	'y'	'y'	'n'	'n'	'n'	'n'	'y'	_?	'y'	'y'	'y'	'y'	'democrat'
'n'	'y'	'y'	'n'	'y'	'y'	'n'	'n'	'n'	'n'	'n'	'n'	'y'	'y'	'y'	'y'	'democrat'
'n'	'y'	'n'	'y'	'y'	'y'	'n'	'n'	'n'	'n'	'n'	'n'	_?	'y'	'y'	'y'	'democrat'
'n'	'y'	'n'	'y'	'y'	'y'	'n'	'n'	'n'	'n'	'n'	'n'	'y'	'y'	_?	'y'	'republican'
'n'	'y'	'n'	'y'	'y'	'y'	'n'	'n'	'n'	'n'	'n'	'y'	'y'	'y'	'n'	'y'	'republican'
'y'	'y'	'y'	'n'	'n'	'n'	'y'	'y'	'y'	'n'	'n'	'n'	'n'	'n'	_?	_?	'democrat'
'n'	'y'	'n'	'y'	'y'	'n'	'n'	'n'	'n'	'n'	_?	_?	'y'	'y'	'n'	'n'	'republican'
'n'	'y'	'n'	'y'	'y'	'y'	'n'	'n'	'n'	'n'	'y'	_?	'y'	'y'	_?	_?	'republican'
'n'	'y'	'y'	'n'	'n'	'n'	'y'	'y'	'y'	'n'	'n'	'n'	'y'	'n'	_?	_?	'democrat'
'y'	'y'	'y'	'n'	'n'	'y'	'y'	'y'	_?	'y'	'y'	_?	'n'	'n'	'y'	_?	'democrat'
'n'	'y'	'n'	'y'	'y'	'y'	'n'	'n'	'n'	'n'	'n'	'y'	_?	_?	'n'	_?	'republican'
'n'	'y'	'n'	'y'	'y'	'y'	'n'	'n'	'n'	'y'	'n'	'y'	'y'	_?	'n'	_?	'republican'
'y'	'n'	'y'	'n'	'n'	'y'	'n'	'y'	_?	'y'	'y'	'y'	_?	'n'	'n'	'y'	'democrat'
'y'	_?	'y'	'n'	'n'	'n'	'y'	'y'	'y'	'n'	'n'	'n'	'y'	'n'	'y'	'y'	'democrat'
